Ticker,Sharesout
MSFT,7635406734
AAPL,4519181446
AMZN,494656053.6
GOOG,693421586.9
BRK-B,2451309846
JPM,3197490769
JNJ,2639169369
WMT,2844276196
XOM,4231113522
V,1738402135
PG,2502630480
BAC,9308297378
MA,1014557793
T,7306995444
ACN,2.10E+09
VZ,4136000000
DIS,1801377025
CVX,1898420883
INTC,4430000000
KO,4276037806
UNH,947681610.7
WFC,4406104532
BA,562710835.4
CSCO,4245296237
CMCSA,4544975146
MRK,2560380349
PFE,5531061635
PEP,1398168743
ORCL,3335811065
C,2259057712
